make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
honda,0,0,2,2,0,0,86.6,144.6,63.9,50.8,1819,2,1,92,0,2.91,3.41,9.2,76,6000,31,38,6855
honda,0,0,2,2,0,0,93.7,150,64,52.6,1837,2,1,79,0,2.91,3.07,10.1,60,5500,38,42,5399
honda,0,0,2,2,0,0,93.7,150,64,52.6,1940,2,1,92,0,2.91,3.41,9.2,76,6000,30,34,6529
honda,0,0,2,2,0,0,93.7,150,64,52.6,1956,2,1,92,0,2.91,3.41,9.2,76,6000,30,34,7129
honda,0,0,4,3,0,0,96.5,163.4,64,54.5,2010,2,1,92,0,2.91,3.41,9.2,76,6000,30,34,7295
honda,0,0,4,4,0,0,96.5,157.1,63.9,58.3,2024,2,1,92,0,2.92,3.41,9.2,76,6000,30,34,7295
honda,0,0,2,2,0,0,96.5,167.5,65.2,53.3,2236,2,1,110,0,3.15,3.58,9,86,5800,27,33,7895
honda,0,0,2,2,0,0,96.5,167.5,65.2,53.3,2289,2,1,110,0,3.15,3.58,9,86,5800,27,33,9095
honda,0,0,4,3,0,0,96.5,175.4,65.2,54.1,2304,2,1,110,0,3.15,3.58,9,86,5800,27,33,8845
honda,0,0,4,3,0,0,96.5,175.4,62.5,54.1,2372,2,1,110,0,3.15,3.58,9,86,5800,27,33,10295
honda,0,0,4,3,0,0,96.5,175.4,65.2,54.1,2465,2,1,110,4,3.15,3.58,9,101,5800,24,28,12945
honda,0,0,2,3,0,0,96.5,169.1,66,51,2293,2,1,110,1,3.15,3.58,9.1,100,5500,25,31,10345
isuzu,0,0,4,3,1,0,94.3,170.7,61.8,53.5,2337,2,1,111,1,3.31,3.23,8.5,78,4800,24,29,6785
isuzu,0,0,2,2,1,0,96,172.6,65.2,51.4,2734,2,1,119,6,3.43,3.23,9.2,90,5000,24,29,11048
jaguar,0,0,4,3,1,0,113,199.6,69.6,52.8,4066,0,3,258,4,3.63,4.17,8.1,176,4750,15,19,32250
jaguar,0,0,4,3,1,0,113,199.6,69.6,52.8,4066,0,3,258,4,3.63,4.17,8.1,176,4750,15,19,35550
jaguar,0,0,2,3,1,0,102,191.7,70.6,47.8,3950,4,5,326,4,3.54,2.76,11.5,262,5000,13,17,36000
mazda,0,0,2,2,0,0,93.1,159.1,64.2,54.1,1890,2,1,91,1,3.03,3.15,9,68,5000,30,31,5195
mazda,0,0,2,2,0,0,93.1,159.1,64.2,54.1,1900,2,1,91,1,3.03,3.15,9,68,5000,31,38,6095
mazda,0,0,2,2,0,0,93.1,159.1,64.2,54.1,1905,2,1,91,1,3.03,3.15,9,68,5000,31,38,6795
mazda,0,0,4,3,0,0,93.1,166.8,64.2,54.1,1945,2,1,91,1,3.03,3.15,9,68,5000,31,38,6695
mazda,0,0,4,3,0,0,93.1,166.8,64.2,54.1,1950,2,1,91,1,3.08,3.15,9,68,5000,31,38,7395
mazda,0,0,2,2,0,0,98.8,177.8,66.5,53.7,2385,2,1,122,1,3.39,3.39,8.6,84,4800,26,32,8845
mazda,0,0,4,3,0,0,98.8,177.8,66.5,55.5,2410,2,1,122,1,3.39,3.39,8.6,84,4800,26,32,8495
mazda,0,0,2,2,0,0,98.8,177.8,66.5,53.7,2385,2,1,122,1,3.39,3.39,8.6,84,4800,26,32,10595
mazda,0,0,4,3,0,0,98.8,177.8,66.5,55.5,2410,2,1,122,1,3.39,3.39,8.6,84,4800,26,32,10245
mazda,1,0,2,3,0,0,98.8,177.8,66.5,55.5,2443,2,1,122,2,3.39,3.39,22.7,64,4650,36,42,10795
mazda,0,0,4,2,0,0,98.8,177.8,66.5,55.5,2425,2,1,122,1,3.39,3.39,8.6,84,4800,26,32,11245
mazda,0,0,4,3,1,0,104.9,175,66.1,54.4,2670,2,1,140,4,3.76,3.16,8,120,5000,19,27,18280
mazda,1,0,4,3,1,0,104.9,175,66.1,54.4,2700,2,1,134,2,3.43,3.64,22,72,4200,31,39,18344
mercedes-benz,1,1,4,3,1,0,110,190.9,70.3,56.5,3515,2,2,183,2,3.58,3.64,21.5,123,4350,22,25,25552
mercedes-benz,1,1,4,4,1,0,110,190.9,70.3,58.7,3750,2,2,183,2,3.58,3.64,21.5,123,4350,22,25,28248
mercedes-benz,1,1,2,1,1,0,106.7,187.5,70.3,54.9,3495,2,2,183,2,3.58,3.64,21.5,123,4350,22,25,28176
mercedes-benz,1,1,4,3,1,0,115.6,202.6,71.7,56.3,3770,2,2,183,2,3.58,3.64,21.5,123,4350,22,25,31600
mercedes-benz,0,0,4,3,1,0,115.6,202.6,71.7,56.5,3740,4,4,234,4,3.46,3.1,8.3,155,4750,16,18,34184
mercedes-benz,0,0,2,0,1,0,96.6,180.3,70.5,50.8,3685,4,4,234,4,3.46,3.1,8.3,155,4750,16,18,35056
mercedes-benz,0,0,4,3,1,0,120.9,208.1,71.7,56.7,3900,4,4,308,4,3.8,3.35,8,184,4500,14,16,40960
mercedes-benz,0,0,2,1,1,0,112,199.2,72,55.4,3715,4,4,304,4,3.8,3.35,8,184,4500,14,16,45400
mercury,0,1,2,2,1,0,102.7,178.4,68,54.8,2910,2,1,140,4,3.78,3.12,8,175,5000,19,24,16503
mitsubishi,0,0,2,2,0,0,93.7,157.3,64.4,50.8,1918,2,1,92,1,2.97,3.23,9.4,68,5500,37,41,5389
mitsubishi,0,0,2,2,0,0,93.7,157.3,64.4,50.8,1944,2,1,92,1,2.97,3.23,9.4,68,5500,31,38,6189
mitsubishi,0,0,2,2,0,0,93.7,157.3,64.4,50.8,2004,2,1,92,1,2.97,3.23,9.4,68,5500,31,38,6669
mitsubishi,0,1,2,2,0,0,93,157.3,63.8,50.8,2145,2,1,98,5,3.03,3.39,7.6,102,5500,24,30,7689
mitsubishi,0,1,2,2,0,0,96.3,173,65.4,49.4,2370,2,1,110,5,3.17,3.46,7.5,116,5500,23,30,9959
mitsubishi,0,0,2,2,0,0,96.3,173,65.4,49.4,2328,2,1,122,1,3.35,3.46,8.5,88,5000,25,32,8499
mitsubishi,0,1,2,2,0,0,95.9,173.2,66.3,50.2,2833,2,1,156,5,3.58,3.86,7,145,5000,19,24,12629
mitsubishi,0,1,2,2,0,0,95.9,173.2,66.3,50.2,2921,2,1,156,5,3.59,3.86,7,145,5000,19,24,14869
mitsubishi,0,1,2,2,0,0,95.9,173.2,66.3,50.2,2926,2,1,156,5,3.59,3.86,7,145,5000,19,24,14489
mitsubishi,0,0,4,3,0,0,96.3,172.4,65.4,51.6,2365,2,1,122,1,3.35,3.46,8.5,88,5000,25,32,6989
mitsubishi,0,0,4,3,0,0,96.3,172.4,65.4,51.6,2405,2,1,122,1,3.35,3.46,8.5,88,5000,25,32,8189
mitsubishi,0,1,4,3,0,0,96.3,172.4,65.4,51.6,2403,2,1,110,5,3.17,3.46,7.5,116,5500,23,30,9279
mitsubishi,0,0,4,3,0,0,96.3,172.4,65.4,51.6,2403,2,1,110,5,3.17,3.46,7.5,116,5500,23,30,9279
nissan,0,0,2,3,0,0,94.5,165.3,63.8,54.5,1889,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,5499
nissan,1,0,2,3,0,0,94.5,165.3,63.8,54.5,2017,2,1,103,2,2.99,3.47,21.9,55,4800,45,50,7099
nissan,0,0,2,3,0,0,94.5,165.3,63.8,54.5,1918,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,6649
nissan,0,0,4,3,0,0,94.5,165.3,63.8,54.5,1938,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,6849
nissan,0,0,4,4,0,0,94.5,170.2,63.8,53.5,2024,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,7349
nissan,0,0,2,3,0,0,94.5,165.3,63.8,54.5,1951,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,7299
nissan,0,0,2,2,0,0,94.5,165.6,63.8,53.3,2028,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,7799
nissan,0,0,4,3,0,0,94.5,165.3,63.8,54.5,1971,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,7499
nissan,0,0,4,4,0,0,94.5,170.2,63.8,53.5,2037,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,7999
nissan,0,0,2,1,0,0,95.1,162.4,63.8,53.3,2008,2,1,97,1,3.15,3.29,9.4,69,5200,31,37,8249
nissan,0,0,4,2,0,0,97.2,173.4,65.2,54.7,2324,2,1,120,1,3.33,3.47,8.5,97,5200,27,34,8949
nissan,0,0,4,3,0,0,97.2,173.4,65.2,54.7,2302,2,1,120,1,3.33,3.47,8.5,97,5200,27,34,9549
nissan,0,0,4,3,0,0,100.4,181.7,66.5,55.1,3095,4,3,181,4,3.43,3.27,9,152,5200,17,22,13499
nissan,0,0,4,4,0,0,100.4,184.6,66.5,56.1,3296,4,3,181,4,3.43,3.27,9,152,5200,17,22,14399
nissan,0,0,4,3,0,0,100.4,184.6,66.5,55.1,3060,4,3,181,4,3.43,3.27,9,152,5200,19,25,13499
nissan,0,0,2,2,1,0,91.3,170.7,67.9,49.7,3071,4,3,181,4,3.43,3.27,9,160,5200,19,25,17199
nissan,0,1,2,2,1,0,91.3,170.7,67.9,49.7,3139,4,3,181,4,3.43,3.27,7.8,200,5200,17,23,19699
nissan,0,0,2,2,1,0,99.2,178.5,67.9,49.7,3139,4,3,181,4,3.43,3.27,9,160,5200,19,25,18399
peugot,0,0,4,3,1,0,107.9,186.7,68.4,56.7,3020,1,1,120,4,3.46,3.19,8.4,97,5000,19,24,11900
peugot,1,1,4,3,1,0,107.9,186.7,68.4,56.7,3197,1,1,152,2,3.7,3.52,21,95,4150,28,33,13200
peugot,0,0,4,4,1,0,114.2,198.9,68.4,58.7,3230,1,1,120,4,3.46,3.19,8.4,97,5000,19,24,12440
peugot,1,1,4,4,1,0,114.2,198.9,68.4,58.7,3430,1,1,152,2,3.7,3.52,21,95,4150,25,25,13860
peugot,0,0,4,3,1,0,107.9,186.7,68.4,56.7,3075,1,1,120,4,3.46,2.19,8.4,95,5000,19,24,15580
peugot,1,1,4,3,1,0,107.9,186.7,68.4,56.7,3252,1,1,152,2,3.7,3.52,21,95,4150,28,33,16900
peugot,0,0,4,4,1,0,114.2,198.9,68.4,56.7,3285,1,1,120,4,3.46,2.19,8.4,95,5000,19,24,16695
peugot,1,1,4,4,1,0,114.2,198.9,68.4,58.7,3485,1,1,152,2,3.7,3.52,21,95,4150,25,25,17075
peugot,0,0,4,3,1,0,107.9,186.7,68.4,56.7,3075,1,1,120,4,3.46,3.19,8.4,97,5000,19,24,16630
peugot,1,1,4,3,1,0,107.9,186.7,68.4,56.7,3252,1,1,152,2,3.7,3.52,21,95,4150,28,33,17950
peugot,0,1,4,3,1,0,108,186.7,68.3,56,3130,1,1,134,4,3.61,3.21,7,142,5600,18,24,18150
plymouth,0,0,2,2,0,0,93.7,157.3,63.8,50.8,1918,2,1,90,1,2.97,3.23,9.4,68,5500,37,41,5572
plymouth,0,1,2,2,0,0,93.7,157.3,63.8,50.8,2128,2,1,98,5,3.03,3.39,7.6,102,5500,24,30,7957
plymouth,0,0,4,2,0,0,93.7,157.3,63.8,50.6,1967,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,6229
plymouth,0,0,4,3,0,0,93.7,167.3,63.8,50.8,1989,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,6692
plymouth,0,0,4,3,0,0,93.7,167.3,63.8,50.8,2191,2,1,98,1,2.97,3.23,9.4,68,5500,31,38,7609
plymouth,0,0,4,4,0,0,103.3,174.6,64.6,59.8,2535,2,1,122,1,3.35,3.46,8.5,88,5000,24,30,8921
plymouth,0,1,2,2,1,0,95.9,173.2,66.3,50.2,2818,2,1,156,5,3.59,3.86,7,145,5000,19,24,12764
porsche,0,0,2,2,1,0,94.5,168.9,68.3,50.2,2778,2,1,151,4,3.94,3.11,9.5,143,5500,19,27,22018
porsche,0,0,2,1,1,1,89.5,168.9,65,51.6,2756,3,3,194,4,3.74,2.9,9.5,207,5900,17,25,32528
porsche,0,0,2,1,1,1,89.5,168.9,65,51.6,2756,3,3,194,4,3.74,2.9,9.5,207,5900,17,25,34028
porsche,0,0,2,0,1,1,89.5,168.9,65,51.6,2800,3,3,194,4,3.74,2.9,9.5,207,5900,17,25,37028
saab,0,0,2,2,0,0,99.1,186.6,66.5,56.1,2658,2,1,121,4,3.54,3.07,9.31,110,5250,21,28,11850
saab,0,0,4,3,0,0,99.1,186.6,66.5,56.1,2695,2,1,121,4,3.54,3.07,9.3,110,5250,21,28,12170
saab,0,0,2,2,0,0,99.1,186.6,66.5,56.1,2707,2,1,121,4,2.54,2.07,9.3,110,5250,21,28,15040
saab,0,0,4,3,0,0,99.1,186.6,66.5,56.1,2758,2,1,121,4,3.54,3.07,9.3,110,5250,21,28,15510
saab,0,1,2,2,0,0,99.1,186.6,66.5,56.1,2808,0,1,121,4,3.54,3.07,9,160,5500,19,26,18150
saab,0,1,4,3,0,0,99.1,186.6,66.5,56.1,2847,0,1,121,4,3.54,3.07,9,160,5500,19,26,18620
subaru,0,0,2,2,0,0,93.7,156.9,63.4,53.7,2050,3,1,97,1,3.62,2.36,9,69,4900,31,36,5118
subaru,0,0,2,2,0,0,93.7,157.9,63.6,53.7,2120,3,1,108,1,3.62,2.64,8.7,73,4400,26,31,7053
subaru,0,0,2,2,0,0,93.3,157.3,63.8,55.7,2240,3,1,108,1,3.62,2.64,8.7,73,4400,26,31,7603
subaru,0,0,4,3,0,0,97.2,172,65.4,52.5,2145,3,1,108,1,3.62,2.64,9.5,82,4800,32,37,7126
subaru,0,0,4,3,0,0,97.2,172,65.4,52.5,2190,3,1,108,1,3.62,2.64,9.5,82,4400,28,33,7775
subaru,0,0,4,3,0,0,97.2,172,65.4,52.5,2340,3,1,108,4,3.62,2.64,9,94,5200,26,32,9960
subaru,0,0,4,3,0,0,97,172,65.4,54.3,2385,3,1,108,1,3.62,2.64,9,82,4800,24,25,9233
subaru,0,1,4,3,0,0,97,172,65.4,54.3,2510,3,1,108,4,3.62,2.64,7.7,111,4800,24,29,11259
subaru,0,0,4,4,0,0,97,173.5,65.4,53,2290,3,1,108,1,3.62,2.64,9,82,4800,28,32,7463
subaru,0,0,4,4,0,0,97,173.5,65.4,53,2455,3,1,108,4,3.62,2.64,9,94,5200,25,31,10198
subaru,0,0,4,4,0,0,96.9,173.6,65.4,54.9,2420,3,1,108,1,3.62,2.64,9,82,4800,23,29,8013
subaru,0,1,4,4,0,0,96.9,173.6,65.4,54.9,2650,3,1,108,4,3.62,2.64,7.7,111,4800,23,23,11694
toyota,0,0,2,2,0,0,95.7,158.7,63.6,54.5,1985,2,1,92,1,3.05,3.03,9,62,4800,35,39,5348
toyota,0,0,2,2,0,0,95.7,158.7,63.6,54.5,2040,2,1,92,1,3.05,3.03,9,62,4800,31,38,6338
toyota,0,0,4,2,0,0,95.7,158.7,63.6,54.5,2015,2,1,92,1,3.05,3.03,9,62,4800,31,38,6488
toyota,0,0,4,4,0,0,95.7,169.7,63.6,59.1,2280,2,1,92,1,3.05,3.03,9,62,4800,31,37,6918
toyota,0,0,4,4,0,0,95.7,169.7,63.6,59.1,2290,2,1,92,1,3.05,3.03,9,62,4800,27,32,7898
toyota,0,0,4,4,0,0,95.7,169.7,63.6,59.1,3110,2,1,92,1,3.05,3.03,9,62,4800,27,32,8778
toyota,0,0,4,3,0,0,95.7,166.3,64.4,53,2081,2,1,98,1,3.19,3.03,9,70,4800,30,37,6938
toyota,0,0,4,2,0,0,95.7,166.3,64.4,52.8,2109,2,1,98,1,3.19,3.03,9,70,4800,30,37,7198
toyota,1,0,4,3,0,0,95.7,166.3,64.4,53,2275,2,1,110,2,3.27,3.35,22.5,56,4500,34,36,7898
toyota,1,0,4,2,0,0,95.7,166.3,64.4,52.8,2275,2,1,110,2,3.27,3.35,22.5,56,4500,38,47,7788
toyota,0,0,4,3,0,0,95.7,166.3,64.4,53,2094,2,1,98,1,3.19,3.03,9,70,4800,38,47,7738
toyota,0,0,4,2,0,0,95.7,166.3,64.4,52.8,2122,2,1,98,1,3.19,3.03,9,70,4800,28,34,8358
toyota,0,0,4,3,0,0,95.7,166.3,64.4,52.8,2140,2,1,98,1,3.19,3.03,9,70,4800,28,34,9258
toyota,0,0,2,3,1,0,94.5,168.7,64,52.6,2169,2,1,98,1,3.19,3.03,9,70,4800,29,34,8058
toyota,0,0,2,2,1,0,94.5,168.7,64,52.6,2204,2,1,98,1,3.19,3.03,9,70,4800,29,34,8238
toyota,0,0,2,3,1,0,94.5,168.7,64,52.6,2265,0,1,98,4,3.24,3.08,9.4,112,6600,26,29,9298
toyota,0,0,2,2,1,0,94.5,168.7,64,52.6,2300,0,1,98,4,3.24,3.08,9.4,112,6600,26,29,9538
toyota,0,0,2,1,1,0,98.4,176.2,65.6,52,2540,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,8449
toyota,0,0,2,1,1,0,98.4,176.2,65.6,52,2536,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,9639
toyota,0,0,2,2,1,0,98.4,176.2,65.6,52,2551,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,9989
toyota,0,0,2,1,1,0,98.4,176.2,65.6,52,2679,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,11199
toyota,0,0,2,2,1,0,98.4,176.2,65.6,52,2714,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,11549
toyota,0,0,2,0,1,0,98.4,176.2,65.6,53,2975,2,1,146,4,3.62,3.5,9.3,116,4800,24,30,17669
toyota,0,0,4,3,0,0,102.4,175.6,66.5,54.9,2326,2,1,122,4,3.31,3.54,8.7,92,4200,29,34,8948
toyota,1,1,4,3,0,0,102.4,175.6,66.5,54.9,2480,2,1,110,2,3.27,3.35,22.5,73,4500,30,33,10698
toyota,0,0,4,2,0,0,102.4,175.6,66.5,53.9,2414,2,1,122,4,3.31,3.54,8.7,92,4200,27,32,9988
toyota,0,0,4,3,0,0,102.4,175.6,66.5,54.9,2414,2,1,122,4,3.31,3.54,8.7,92,4200,27,32,10898
toyota,0,0,4,2,0,0,102.4,175.6,66.5,53.9,2458,2,1,122,4,3.31,3.54,8.7,92,4200,27,32,11248
toyota,0,0,2,2,1,0,102.9,183.5,67.7,52,2976,0,3,171,4,3.27,3.35,9.3,161,5200,20,24,16558
toyota,0,0,2,2,1,0,102.9,183.5,67.7,52,3016,0,3,171,4,3.27,3.35,9.3,161,5200,19,24,15998
toyota,0,0,4,3,1,0,104.5,187.8,66.5,54.1,3131,0,3,171,4,3.27,3.35,9.2,156,5200,20,24,15690
toyota,0,0,4,4,1,0,104.5,187.8,66.5,54.1,3151,0,3,161,4,3.27,3.35,9.2,156,5200,19,24,15750
volkswagen,1,0,2,3,0,0,97.3,171.7,65.5,55.7,2261,2,1,97,2,3.01,3.4,23,52,4800,37,46,7775
volkswagen,0,0,2,3,0,0,97.3,171.7,65.5,55.7,2209,2,1,109,4,3.19,3.4,9,85,5250,27,34,7975
volkswagen,1,0,4,3,0,0,97.3,171.7,65.5,55.7,2264,2,1,97,2,3.01,3.4,23,52,4800,37,46,7995
volkswagen,0,0,4,3,0,0,97.3,171.7,65.5,55.7,2212,2,1,109,4,3.19,3.4,9,85,5250,27,34,8195
volkswagen,0,0,4,3,0,0,97.3,171.7,65.5,55.7,2275,2,1,109,4,3.19,3.4,9,85,5250,27,34,8495
volkswagen,1,1,4,3,0,0,97.3,171.7,65.5,55.7,2319,2,1,97,2,3.01,3.4,23,68,4500,37,42,9495
volkswagen,0,0,4,3,0,0,97.3,171.7,65.5,55.7,2300,2,1,109,4,3.19,3.4,10,100,5500,26,32,9995
volkswagen,0,0,2,0,0,0,94.5,159.3,64.2,55.6,2254,2,1,109,4,3.19,3.4,8.5,90,5500,24,29,11595
volkswagen,0,0,2,2,0,0,94.5,165.7,64,51.4,2221,2,1,109,4,3.19,3.4,8.5,90,5500,24,29,9980
volkswagen,0,0,4,3,0,0,100.4,180.2,66.9,55.1,2661,2,2,136,4,3.19,3.4,8.5,110,5500,19,24,13295
volkswagen,1,1,4,3,0,0,100.4,180.2,66.9,55.1,2579,2,1,97,2,3.01,3.4,23,68,4500,33,38,13845
volkswagen,0,0,4,4,0,0,100.4,183.1,66.9,55.1,2563,2,1,109,4,3.19,3.4,9,88,5500,25,31,12290
volvo,0,0,4,3,1,0,104.3,188.8,67.2,56.2,2912,2,1,141,4,3.78,3.15,9.5,114,5400,23,28,12940
volvo,0,0,4,4,1,0,104.3,188.8,67.2,57.5,3034,2,1,141,4,3.78,3.15,9.5,114,5400,23,28,13415
volvo,0,0,4,3,1,0,104.3,188.8,67.2,56.2,2935,2,1,141,4,3.78,3.15,9.5,114,5400,24,28,15985
volvo,0,0,4,4,1,0,104.3,188.8,67.2,57.5,3042,2,1,141,4,3.78,3.15,9.5,114,5400,24,28,16515
volvo,0,1,4,3,1,0,104.3,188.8,67.2,56.2,3045,2,1,130,4,3.62,3.15,7.5,162,5100,17,22,18420
volvo,0,1,4,4,1,0,104.3,188.8,67.2,57.5,3157,2,1,130,4,3.62,3.15,7.5,162,5100,17,22,18950
volvo,0,0,4,3,1,0,109.1,188.8,68.9,55.5,2952,2,1,141,4,3.78,3.15,9.5,114,5400,23,28,16845
volvo,0,1,4,3,1,0,109.1,188.8,68.8,55.5,3049,2,1,141,4,3.78,3.15,8.7,160,5300,19,25,19045
volvo,0,0,4,3,1,0,109.1,188.8,68.9,55.5,3012,4,3,173,4,3.58,2.87,8.8,134,5500,18,23,21485
volvo,1,1,4,3,1,0,109.1,188.8,68.9,55.5,3217,2,3,145,2,3.01,3.4,23,106,4800,26,27,22470
volvo,0,1,4,3,1,0,109.2,188.9,69,55.6,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22625
volvo,0,1,4,3,1,0,109.3,189,69.1,55.7,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22626
volvo,0,1,4,3,1,0,109.4,189.1,69.2,55.8,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22627
volvo,0,1,4,3,1,0,109.5,189.2,69.3,55.9,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22628
volvo,0,1,4,3,1,0,109.6,189.3,69.4,56,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22629
volvo,0,1,4,3,1,0,109.7,189.4,69.5,56.1,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22630
volvo,0,1,4,3,1,0,109.8,189.5,69.6,56.2,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22631
volvo,0,1,4,3,1,0,109.9,189.6,69.7,56.3,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22632
volvo,0,1,4,3,1,0,110,189.7,69.8,56.4,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22633
volvo,0,1,4,3,1,0,110.1,189.8,69.9,56.5,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22634
volvo,0,1,4,3,1,0,110.2,189.9,70,56.6,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22635
volvo,0,1,4,3,1,0,110.3,190,70.1,56.7,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22636
volvo,0,1,4,3,1,0,110.4,190.1,70.2,56.8,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22637
volvo,0,1,4,3,1,0,110.5,190.2,70.3,56.9,3062,2,1,141,4,3.78,3.15,9.5,114,5400,19,25,22638
